dimension,slice_value,n,agree_rate_sub7b_baseline,agree_rate_sub7b_sub5b,foi_success_rate,sub7b_top_answer,sub7b_top_pct,baseline_top_answer,baseline_top_pct,gt_available,acc_sub7b,acc_baseline,acc_either
pipeline_stage,cropped_foi,1162,0.7005,0.6678,1.0,No,0.3296,No,0.29,false,,,
pipeline_stage,full_video_hinted,1837,0.7817,0.8302,0.0,C,0.1965,C,0.1894,false,,,
pipeline_stage,full_video_no_hint,1,1.0,1.0,0.0,C,1.0,C,1.0,false,,,
complexity_level,2,347,0.7464,0.7896,0.0,C,0.2939,C,0.2853,false,,,
complexity_level,3,613,0.7961,0.801,0.3067,No,0.2398,No,0.2137,false,,,
complexity_level,4,1118,0.7343,0.7567,0.534,No,0.2442,No,0.2236,false,,,
complexity_level,5,549,0.7177,0.714,0.6667,No,0.3224,No,0.3097,false,,,
complexity_level,unknown,373,0.7748,0.8016,0.0295,Yes,0.4075,Yes,0.4182,false,,,
operator_family,after,312,0.8013,0.8205,0.3397,No,0.3141,No,0.2788,false,,,
operator_family,always_after,136,0.7132,0.8309,0.3162,No,0.2721,Yes,0.2647,false,,,
operator_family,always_before,825,0.7261,0.7285,0.6109,No,0.2121,C,0.1939,false,,,
operator_family,before,161,0.7826,0.7888,0.2298,No,0.2174,D,0.2298,false,,,
operator_family,during,95,0.7053,0.7789,0.0,B,0.3158,C,0.2947,false,,,
operator_family,in_turn_occurs,549,0.7177,0.714,0.6667,No,0.3224,No,0.3097,false,,,
operator_family,since,112,0.7857,0.8214,0.3304,Yes,0.3036,Yes,0.2679,false,,,
operator_family,unknown,373,0.7748,0.8016,0.0295,Yes,0.4075,Yes,0.4182,false,,,
operator_family,until,185,0.8054,0.8,0.3135,No,0.2757,No,0.2649,false,,,
operator_family,when,252,0.7619,0.7937,0.0,C,0.3016,D,0.2897,false,,,
mode,bool,1122,0.8021,0.7941,0.5027,No,0.6221,No,0.5775,false,,,
mode,mc,1878,0.7194,0.7513,0.3184,C,0.2774,C,0.2726,false,,,
source,star,777,0.8057,0.8353,0.1596,No,0.2059,No,0.2214,false,,,
source,agqa,760,0.7855,0.8434,0.2092,No,0.2658,No,0.2461,false,,,
source,ct,729,0.7627,0.7449,0.583,No,0.3484,No,0.2908,false,,,
source,bf,734,0.6431,0.639,0.6185,C,0.2398,C,0.2357,false,,,
